JobTitle,JobTitleURI,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,23,5,master's degree,management,3,83031,10240
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,29,5,master's degree,engineer,5,111019,10042
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,25,3,master's degree,engineer,4,80192,8747
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,21,5,doctorate,management,1,48755,9931
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,28,5,high school,engineer,2,59044,9368
manager,https://www.wikidata.org/wiki/Q2462658,Male,29,4,doctorate,engineer,5,146615,10173
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,32,5,doctorate,engineer,1,46693,8457
information technology,https://www.wikidata.org/wiki/Q11661,Female,48,5,doctorate,operations management,3,88152,8857
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,38,5,master's degree,government administration,5,127156,9979
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,31,5,doctorate,engineer,1,69462,8872
manager,https://www.wikidata.org/wiki/Q2462658,Male,19,4,doctorate,marketing,5,119162,9395
software developer,https://www.wikidata.org/wiki/Q183888,Male,26,5,doctorate,operations management,2,68466,8384
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,36,5,master's degree,government administration,3,92622,8509
marketing,https://www.wikidata.org/wiki/Q39809,Female,34,5,master's degree,engineer,1,51331,9130
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,49,5,high school,marketing,4,109419,8375
software developer,https://www.wikidata.org/wiki/Q183888,Male,18,5,college,operations management,3,80355,9945
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,21,4,master's degree,marketing,4,77032,8725
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,47,5,high school,marketing,5,146190,8961
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,22,4,master's degree,government administration,4,96045,9129
software developer,https://www.wikidata.org/wiki/Q183888,Male,29,5,high school,management,1,82534,8914
information technology,https://www.wikidata.org/wiki/Q11661,Male,55,5,college,management,5,127769,8802
marketing,https://www.wikidata.org/wiki/Q39809,Female,34,5,high school,marketing,5,96061,9093
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,48,5,college,management,5,111342,10122
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,43,5,doctorate,management,3,117554,8369
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,30,5,high school,engineer,5,109369,10052
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,25,4,master's degree,operations management,4,92358,9611
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,21,4,master's degree,operations management,4,91978,8647
salesperson,https://www.wikidata.org/wiki/Q685433,Male,28,5,doctorate,government administration,1,52290,9330
information technology,https://www.wikidata.org/wiki/Q11661,Male,18,5,high school,engineer,1,47036,9130
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,46,5,doctorate,marketing,1,76517,8502
marketing,https://www.wikidata.org/wiki/Q39809,Female,29,4,master's degree,government administration,5,89822,8818
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,32,4,doctorate,engineer,4,90368,8215
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,26,5,college,engineer,4,106194,9421
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,51,5,high school,management,3,87684,8645
marketing,https://www.wikidata.org/wiki/Q39809,Female,40,5,master's degree,government administration,3,62040,8056
salesperson,https://www.wikidata.org/wiki/Q685433,Female,52,5,master's degree,engineer,2,84132,7204
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,29,4,master's degree,government administration,4,88047,8459
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,37,5,master's degree,government administration,2,65012,8357
marketing,https://www.wikidata.org/wiki/Q39809,Female,23,4,master's degree,engineer,4,59251,8596
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,18,4,doctorate,operations management,3,78462,8743
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,40,5,college,management,2,97414,8833
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,18,4,master's degree,government administration,2,42722,8515
marketing,https://www.wikidata.org/wiki/Q39809,Female,26,4,college,management,3,63695,8897
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,51,5,doctorate,operations management,4,110731,8643
software developer,https://www.wikidata.org/wiki/Q183888,Male,54,5,doctorate,government administration,4,125572,8245
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,49,5,master's degree,operations management,2,72754,8014
information technology,https://www.wikidata.org/wiki/Q11661,Female,26,5,college,government administration,2,53956,9454
salesperson,https://www.wikidata.org/wiki/Q685433,Male,58,5,high school,engineer,5,135013,8972
information technology,https://www.wikidata.org/wiki/Q11661,Female,49,5,college,management,3,108495,8668
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,27,4,high school,government administration,4,87608,7511
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,38,5,college,government administration,5,101173,9255
information technology,https://www.wikidata.org/wiki/Q11661,Male,53,5,doctorate,management,5,126828,9310
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,49,5,high school,engineer,4,102716,8290
marketing,https://www.wikidata.org/wiki/Q39809,Male,26,4,high school,engineer,5,77793,8700
marketing,https://www.wikidata.org/wiki/Q39809,Female,44,5,high school,marketing,1,57469,7539
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,33,5,master's degree,management,3,83758,8498
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,22,5,doctorate,government administration,1,40187,8549
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,41,5,master's degree,engineer,3,98531,6855
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,26,4,college,operations management,4,104435,7802
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,29,5,high school,government administration,1,67617,9075
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,24,4,high school,government administration,5,91049,10375
manager,https://www.wikidata.org/wiki/Q2462658,Female,32,5,doctorate,operations management,1,98519,8943
marketing,https://www.wikidata.org/wiki/Q39809,Female,36,4,high school,operations management,5,91713,7627
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,41,4,master's degree,engineer,3,88994,8873
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,44,5,master's degree,government administration,4,119381,9345
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,43,5,high school,marketing,5,113180,9089
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,48,5,doctorate,management,2,68639,9553
software developer,https://www.wikidata.org/wiki/Q183888,Female,28,3,doctorate,engineer,4,103763,8383
software developer,https://www.wikidata.org/wiki/Q183888,Male,40,5,college,management,1,68295,7902
manager,https://www.wikidata.org/wiki/Q2462658,Male,21,4,high school,engineer,3,103107,9036
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,19,4,college,marketing,2,64844,9042
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,61,5,doctorate,marketing,4,129132,8472
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,57,5,high school,engineer,3,93470,8578
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,28,4,master's degree,government administration,5,97625,7985
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,52,5,college,government administration,1,66529,7067
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,48,5,master's degree,management,1,100115,7679
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,57,5,doctorate,government administration,2,86423,8058
salesperson,https://www.wikidata.org/wiki/Q685433,Male,30,4,master's degree,marketing,5,115165,8841
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,53,5,master's degree,engineer,5,133495,8552
marketing,https://www.wikidata.org/wiki/Q39809,Male,47,5,master's degree,operations management,3,86516,8049
information technology,https://www.wikidata.org/wiki/Q11661,Male,18,4,master's degree,government administration,4,69855,8347
salesperson,https://www.wikidata.org/wiki/Q685433,Female,35,4,doctorate,marketing,1,84844,7205
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,51,5,college,operations management,3,108241,8602
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,51,5,high school,marketing,3,106478,8744
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,38,4,college,management,5,114421,7444
software developer,https://www.wikidata.org/wiki/Q183888,Male,24,4,master's degree,management,1,79208,8602
software developer,https://www.wikidata.org/wiki/Q183888,Male,49,5,master's degree,government administration,5,142105,9653
salesperson,https://www.wikidata.org/wiki/Q685433,Male,22,5,high school,government administration,1,57783,9306
marketing,https://www.wikidata.org/wiki/Q39809,Female,33,5,high school,operations management,2,46903,8130
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,36,5,master's degree,operations management,1,71858,7475
marketing,https://www.wikidata.org/wiki/Q39809,Female,27,5,high school,management,1,44325,8867
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,39,5,high school,engineer,4,100183,8832
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,19,4,master's degree,marketing,1,61000,8872
software developer,https://www.wikidata.org/wiki/Q183888,Male,59,5,master's degree,engineer,1,109623,6897
marketing,https://www.wikidata.org/wiki/Q39809,Female,20,3,doctorate,marketing,5,60070,8273
information technology,https://www.wikidata.org/wiki/Q11661,Female,29,4,master's degree,management,3,72542,8109
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,54,5,doctorate,government administration,4,110049,8928
information technology,https://www.wikidata.org/wiki/Q11661,Female,30,4,master's degree,engineer,2,80981,8201
information technology,https://www.wikidata.org/wiki/Q11661,Female,42,5,college,operations management,2,83499,8950
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,42,4,master's degree,management,4,106788,8974
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,50,4,master's degree,engineer,5,108922,8477
information technology,https://www.wikidata.org/wiki/Q11661,Female,43,5,doctorate,government administration,5,127062,9619
software developer,https://www.wikidata.org/wiki/Q183888,Male,64,5,college,marketing,4,120593,7573
manager,https://www.wikidata.org/wiki/Q2462658,Male,23,4,doctorate,government administration,1,90685,8816
marketing,https://www.wikidata.org/wiki/Q39809,Female,33,5,high school,engineer,1,49830,8543
software developer,https://www.wikidata.org/wiki/Q183888,Male,39,4,high school,marketing,4,106896,7918
salesperson,https://www.wikidata.org/wiki/Q685433,Male,58,5,doctorate,marketing,2,129425,7524
marketing,https://www.wikidata.org/wiki/Q39809,Female,24,3,master's degree,operations management,5,82338,7414
marketing,https://www.wikidata.org/wiki/Q39809,Female,37,4,doctorate,government administration,3,86036,7567
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,53,5,high school,operations management,2,93073,8188
software developer,https://www.wikidata.org/wiki/Q183888,Male,33,5,doctorate,government administration,2,87352,8435
software developer,https://www.wikidata.org/wiki/Q183888,Male,56,5,doctorate,government administration,5,139760,9229
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,52,5,high school,engineer,2,100070,7169
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,40,5,master's degree,marketing,4,102815,9090
software developer,https://www.wikidata.org/wiki/Q183888,Male,43,4,doctorate,management,5,101262,7794
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,19,5,high school,operations management,2,58054,9585
salesperson,https://www.wikidata.org/wiki/Q685433,Female,53,4,master's degree,operations management,5,129609,7392
salesperson,https://www.wikidata.org/wiki/Q685433,Male,44,5,master's degree,government administration,2,100091,9185
manager,https://www.wikidata.org/wiki/Q2462658,Male,23,4,master's degree,marketing,3,103479,7850
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,51,5,college,operations management,1,72827,7285
information technology,https://www.wikidata.org/wiki/Q11661,Male,20,4,doctorate,engineer,2,74073,8509
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,47,5,college,government administration,2,64852,8023
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,49,5,college,management,4,106887,8347
software developer,https://www.wikidata.org/wiki/Q183888,Male,26,4,college,government administration,2,77309,7957
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,44,4,high school,government administration,4,100416,7513
software developer,https://www.wikidata.org/wiki/Q183888,Male,18,3,master's degree,engineer,2,88482,7385
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,32,4,college,management,4,78623,9012
salesperson,https://www.wikidata.org/wiki/Q685433,Male,18,4,high school,management,4,80135,9007
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,63,5,high school,marketing,2,106158,7654
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,37,4,college,engineer,4,89411,9522
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,22,4,master's degree,marketing,2,57398,7827
marketing,https://www.wikidata.org/wiki/Q39809,Female,64,5,doctorate,marketing,2,95687,7279
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,39,4,doctorate,operations management,5,120294,8090
manager,https://www.wikidata.org/wiki/Q2462658,Male,20,4,college,marketing,2,107140,8199
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,39,5,college,operations management,1,76773,7278
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,37,4,master's degree,engineer,2,98010,8210
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,39,4,doctorate,management,3,91099,8306
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,29,4,high school,management,4,89559,8338
software developer,https://www.wikidata.org/wiki/Q183888,Male,58,5,high school,management,3,120156,7200
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,38,5,doctorate,engineer,4,102966,8978
marketing,https://www.wikidata.org/wiki/Q39809,Female,64,5,doctorate,marketing,5,128970,7346
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,51,4,high school,management,5,121376,7832
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,53,5,master's degree,government administration,3,112941,7404
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,46,5,high school,engineer,4,102736,9736
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,28,4,high school,management,1,64008,7185
information technology,https://www.wikidata.org/wiki/Q11661,Male,52,5,master's degree,engineer,1,90024,7350
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,48,4,master's degree,management,5,129406,7280
information technology,https://www.wikidata.org/wiki/Q11661,Female,34,5,college,operations management,1,54245,8245
marketing,https://www.wikidata.org/wiki/Q39809,Female,27,4,high school,government administration,5,67530,9311
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,18,4,high school,marketing,4,75506,9289
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,31,4,college,engineer,2,81826,8375
software developer,https://www.wikidata.org/wiki/Q183888,Female,27,4,high school,operations management,1,65711,7789
salesperson,https://www.wikidata.org/wiki/Q685433,Male,29,3,master's degree,management,2,61164,6346
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,41,5,master's degree,government administration,1,73801,8317
manager,https://www.wikidata.org/wiki/Q2462658,Male,62,5,college,government administration,5,157410,7840
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,23,4,high school,operations management,1,50601,7351
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,29,4,high school,engineer,3,65907,7668
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,38,5,high school,marketing,2,80937,8335
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,34,4,college,government administration,5,90330,7022
salesperson,https://www.wikidata.org/wiki/Q685433,Female,62,5,college,operations management,2,93268,7657
information technology,https://www.wikidata.org/wiki/Q11661,Male,40,4,college,government administration,5,109345,7791
software developer,https://www.wikidata.org/wiki/Q183888,Male,27,4,master's degree,engineer,1,66084,7769
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,35,4,doctorate,operations management,5,98900,7960
information technology,https://www.wikidata.org/wiki/Q11661,Male,19,4,college,engineer,3,78113,9335
software developer,https://www.wikidata.org/wiki/Q183888,Male,36,4,master's degree,engineer,5,130826,9694
salesperson,https://www.wikidata.org/wiki/Q685433,Male,23,3,high school,engineer,3,85928,7229
information technology,https://www.wikidata.org/wiki/Q11661,Male,43,5,college,operations management,4,98515,9090
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,48,4,college,government administration,4,103133,7793
marketing,https://www.wikidata.org/wiki/Q39809,Female,20,4,college,marketing,4,69254,8609
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,27,4,college,marketing,5,114680,8472
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,25,3,doctorate,engineer,5,92687,7634
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,21,3,master's degree,engineer,4,72301,8391
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,24,4,master's degree,government administration,1,67749,8517
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,61,5,master's degree,management,2,97000,7757
manager,https://www.wikidata.org/wiki/Q2462658,Male,52,5,high school,operations management,2,104526,7253
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,26,4,high school,management,3,80494,8449
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,30,4,high school,operations management,2,40341,7320
software developer,https://www.wikidata.org/wiki/Q183888,Male,29,4,high school,engineer,1,74316,8761
information technology,https://www.wikidata.org/wiki/Q11661,Female,46,5,doctorate,marketing,3,102247,8307
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,49,4,college,marketing,5,104657,6839
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,37,3,high school,engineer,5,92722,8010
salesperson,https://www.wikidata.org/wiki/Q685433,Female,51,5,master's degree,management,1,72120,9084
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,28,4,master's degree,operations management,1,62260,7740
manager,https://www.wikidata.org/wiki/Q2462658,Male,45,5,high school,engineer,3,123422,8894
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,48,5,college,marketing,1,62097,7075
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,53,5,high school,management,2,102910,8335
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,29,4,high school,engineer,3,84021,9111
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,19,4,high school,operations management,1,37026,8636
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,18,3,doctorate,operations management,3,56318,8407
information technology,https://www.wikidata.org/wiki/Q11661,Male,28,4,high school,operations management,3,64958,7910
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,31,4,high school,operations management,2,55954,7999
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,58,4,doctorate,marketing,3,108820,7776
information technology,https://www.wikidata.org/wiki/Q11661,Female,41,5,high school,operations management,3,100014,8621
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,36,4,doctorate,operations management,3,88213,8581
salesperson,https://www.wikidata.org/wiki/Q685433,Female,34,3,high school,marketing,4,108288,7491
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,56,5,master's degree,marketing,5,100859,8388
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,30,4,master's degree,government administration,5,114007,9248
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,37,4,high school,management,3,83025,8105
information technology,https://www.wikidata.org/wiki/Q11661,Male,28,4,high school,government administration,5,95964,9147
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,47,4,college,government administration,2,94973,7885
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,44,4,high school,marketing,4,102108,8339
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,24,4,master's degree,marketing,2,60736,7873
information technology,https://www.wikidata.org/wiki/Q11661,Male,47,5,doctorate,operations management,1,82126,6971
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,33,5,master's degree,operations management,1,69878,8389
information technology,https://www.wikidata.org/wiki/Q11661,Female,22,4,master's degree,marketing,1,37780,8443
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,57,4,master's degree,management,4,132873,7266
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,20,4,high school,operations management,2,65164,7827
information technology,https://www.wikidata.org/wiki/Q11661,Female,65,5,master's degree,government administration,4,121210,7949
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,49,4,doctorate,engineer,2,95169,7415
